State;Code;Region;Developement;Population;Infectious and parasitic diseases;Respiratory Infectious ;Maternal conditions;Neonatal conditions;Nutritional deficiencies;Malignant neoplasms;Other neoplasms;Diabetes mellitus;Endocrine, blood, immune disorders;Mental and substance use disorders;Neurological conditions;Sense organ diseases;Cardiovascular diseases;Respiratory diseases;Digestive diseases;Genitourinary diseases;Skin diseases;Musculoskeletal diseases;Congenital anomalies;Oral conditions;Sudden infant death syndrome;Road injury;Poisonings;Falls;Fire, heat and hot substances;Drowning;Exposure to mechanical forces;Natural disasters;Other unintentional injuries;Self-harm;Interpersonal violence;Collective violence and legal intervention
Afghanistan;AFG;Asia;Developing;34656;29,7;17,1;3,5;39,3;0,7;20;1,1;7,1;1,6;0,3;3,5;0;51,2;6,7;5,5;5,5;0,1;0,2;6,3;0;0,4;5,3;0,4;3,4;0,5;2,9;1,9;0;2,5;1,6;2,6;27,4
Albania;ALB;Europe;Transition;2926;0,1;0,4;0;0,2;0;5,1;0,3;0,2;0,1;0;1,5;0;14,9;0,9;0,6;0,5;0;0;0,2;0;0;0,4;0;0,1;0;0;0,1;0;0,1;0,2;0,1;0
Algeria;DZA;Africa;Developing;40606;6,6;8,7;1;11,7;0,2;25,2;0,7;8,4;1,5;0,5;13,1;0;69,2;6;6,1;7,9;0,6;0,2;4,4;0;0,3;9,8;0,3;1,3;0,7;0,7;0,6;0;1,6;1,3;1,7;0,1
Angola;AGO;Africa;Developing;28813;76,6;24,1;3,4;31,7;7,2;8,5;0,4;2,4;1,6;0,5;3,1;0;22,5;3,6;8,6;1,8;0,9;0,1;7,2;0;0,6;6,7;0,8;1,4;1,1;3;1,1;0;2,5;1,3;2,8;0
Antigua and Barbuda;ATG;America;Developing;101;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;ARG;America;Developing;43847;13,9;32,7;0,4;3,5;1,7;65,7;3;9,2;3,6;1,6;7,2;0;91;34,4;17,4;14,7;2,3;1,2;2,9;0;0,2;6;0,3;0,4;0,4;0,5;0,2;0;6,8;4;2,7;0
Armenia;ARM;Asia;Developing;2925;0,2;0,3;0;0,2;0;8;0,1;1,1;0;0,1;1,2;0;12,3;1,2;1,4;0,8;0;0;0,2;0;0;0,4;0;0,1;0;0;0;0;0,2;0,2;0,1;0
Australia;AUS;Oceania;Developed;24126;2,6;3,9;0;0,5;0,3;45,7;1,3;4,8;2,3;1,7;18,9;0;44;11,7;6;3,6;0,5;1,3;0,7;0;0,1;1,2;0;2,6;0,1;0,2;0,1;0;1,8;3,2;0,3;0
Austria;AUT;Europe;Developed;8712;0,7;1,2;0;0,1;0,1;20,9;0,8;3,4;1;0,6;4,4;0;33;4,1;3,1;2,3;0,1;0,3;0,3;0;0;0,4;0;0,9;0;0;0;0;1,3;1,4;0;0
Azerbaijan;AZE;Asia;Developing;9725;1,6;1,4;0;2,5;0;10,1;0;1,5;0,3;0,6;1,9;0;32,4;1,9;3,4;1,2;0;0;0,8;0;0;1;0,1;0,2;0,3;0,2;0,1;0;0,4;0,3;0,2;0,1
Bahamas;BHS;America;Developing;391;0,3;0,1;0;0;0;0,5;0;0,1;0;0;0,1;0;0,7;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0
Bahrain;BHR;Asia;Developing;1425;0,1;0,1;0;0,1;0;0,5;0;0,4;0,1;0;0,1;0;0,8;0,1;0,1;0,1;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0
Bangladesh;BGD;Asia;Developing;162952;122,8;31,9;4,9;51,2;8,1;99,6;1,8;28,1;3,8;1,9;19,7;0;257,6;82,3;39,9;22,5;2,8;0,5;10,7;0;1,4;20,8;0,5;5;1,7;12,4;1;0;8,3;9,5;4,8;0,1
Barbados;BRB;America;Developing;285;0,1;0,3;0;0;0;0,7;0;0,3;0,1;0;0,1;0;0,9;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0
Belarus;BLR;Europe;Transition;9480;1,9;0,9;0;0,1;0;18,8;0;0,4;0,1;2,2;4,9;0;73,7;2,2;4,1;0,9;0;0;0,3;0;0;1,2;0,2;1,1;0,6;0,7;0,2;0;1,2;2,5;0,5;0
Belgium;BEL;Europe;Developed;11358;2,1;5,9;0;0,2;0,5;28,8;1,7;1,7;1,4;0,8;11,4;0;31;8,6;5;3,1;0,3;0,7;0,3;0;0;0,7;0;1,7;0,1;0,1;0,1;0;1,9;2,4;0,1;0
Belize;BLZ;America;Developing;367;0,2;0,1;0;0,1;0;0,3;0;0,2;0;0;0,1;0;0,5;0,1;0,1;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0,1;0
Benin;BEN;Africa;Developing;10872;24,9;11,6;1,4;12,2;3,2;3,9;0,2;1,5;2,3;0,3;1,5;0;13,4;2,4;4,5;2;0,3;0,1;2,5;0;0,2;3,2;0,4;0,9;0,6;0,9;0,6;0;1,7;1,1;0,7;0
Bhutan;BTN;Asia;Developing;798;0,5;0,2;0;0,2;0;0,5;0;0,2;0;0;0,1;0;1,3;0,4;0,3;0,2;0;0;0,1;0;0;0,1;0;0,1;0;0;0;0;0,1;0,1;0;0
Bolivia (Plurinational State of);BOL;America;Developing;10888;4,1;6,3;0,5;4;1,1;7,9;0,2;2,9;0,3;0,6;2,6;0;16,7;3,3;5,4;4,1;0,1;0,2;1,5;0;0;2,5;0,2;0,7;0,3;0,7;0,4;0;1,6;1,3;1,5;0
