id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
50904,super cosy suite - fashion district,234077,Karin,,Historisch Centrum,51.21858,4.3985,Private room,145,1,1,2015-05-06,0.02,4,156
116134,Trendy Vacation Apartment Antwerp,586942,Paul,,Eilandje,51.23051,4.40593,Entire home/apt,150,2,78,2019-04-08,0.90,1,303
200420,appartement close to city center & sports palace .,979985,M,,Stuivenberg,51.22636,4.43119,Private room,24,1,25,2019-04-14,4.69,1,153
224333,Antique house with terrace+garden near trams+parks,1167377,Geert,,Deurne Zuid West,51.19772,4.45853,Private room,25,14,1,2011-09-19,0.01,1,362
224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,1263933,Kristien,,Sint-Andries,51.21722,4.3979,Entire home/apt,105,2,251,2019-04-05,2.88,1,328
328911,Large Modern Apt W Great Park Views,1263814,Tinne,,Stadspark,51.21078,4.4105,Entire home/apt,69,4,54,2019-03-15,0.62,1,113
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.19935,4.40154,Entire home/apt,45,3,47,2019-04-08,0.56,2,227
465282,Romantic Cheap Appartment Antwerp ,2311105,Ramona,,Harmonie,51.2014,4.40649,Entire home/apt,48,2,16,2015-05-19,0.20,1,0
480831,"Antwerpen, Antwerp Central Bed and Vintage",2184659,Matthi & Brenda,,Universiteitsbuurt,51.2243,4.40564,Entire home/apt,65,3,219,2018-08-20,2.61,1,141
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.22001,4.39813,Entire home/apt,195,2,2,2017-10-27,0.05,1,365
573641,Design Apartment Near The Center!,2822632,Ariane,,Hoogte,51.18187,4.39381,Entire home/apt,100,3,19,2018-10-27,0.23,1,358
575935,"Room in Cosy Design Duplex, Antwerp",1128692,Larissa,,Hoogte,51.18152,4.39463,Private room,60,2,29,2019-04-08,0.35,1,353
603545,City center | Trendy | *Perfect* for a Longer Stay,2987880,Serge,,Harmonie,51.20753,4.40589,Entire home/apt,150,2,15,2019-04-05,0.19,1,318
636664,"sunny rooftop apartment, sleeps 2-5",462975,Els,,Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire home/apt,85,2,73,2019-04-16,0.91,1,344
639013,The chill place in Antwerp 1,3189018,Cathy,,Borgerhout Intra Muros Noord,51.21748,4.4456,Private room,85,2,34,2018-07-22,0.42,3,345
639554,Spacious flat Antwerp Top Location!,3193133,Anita,,Amandus - Atheneum,51.22284,4.41625,Entire home/apt,79,4,65,2018-12-02,0.80,1,364
685049,Stylish decorated  room in 'art nouveau house',3493319,Glenn,,Oud - Berchem,51.19589,4.41443,Private room,65,2,3,2016-10-25,0.05,2,177
685053,"fantastic room in ""Art Nouveau""house",3493319,Glenn,,Oud - Berchem,51.19482,4.41339,Private room,120,2,0,,,2,0
692237,Relax & enjoy the heart of Antwerp!,3539017,Laura,,Historisch Centrum,51.22127,4.40171,Entire home/apt,69,20,188,2016-09-11,2.36,1,0
723033,Spacy family studio in Antwerp City,3734348,Sylvia,,Stadspark,51.20955,4.41481,Entire home/apt,75,2,207,2019-04-14,2.62,1,327
746729,A room in a great art-deco house !,3888321,Vincent,,Markgrave,51.19536,4.40806,Private room,70,1,152,2019-04-08,2.24,1,350
772842,Stay in a designers place & donate,4050173,Daisy,,Linkeroever,51.21775,4.38434,Entire home/apt,75,7,66,2018-06-01,0.86,1,323
778043,cosy & beautiful apartment Antwerp,1735092,Marc & Elizabeth,,Stadspark,51.20399,4.41249,Entire home/apt,75,2,53,2019-02-24,0.69,1,357
789555,+++blancoooJOZEFIEN+++ roofterrace,3185214,Annemie,,Centraal Station,51.21231,4.4269,Entire home/apt,93,2,42,2019-03-31,0.55,3,297
813969,150 sqm loft (terrace & river view),4277604,Sarah,,Zuid,51.21264,4.39098,Entire home/apt,177,1,40,2019-03-23,0.85,2,266
