id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2352,"Triplex-2chmbrs,grande sdb,terrasse= tous confort",2582,Oda,,Molenbeek-Saint-Jean,50.85787,4.30809,Entire home/apt,93,2,15,2018-12-31,0.25,3,180
2354,COURT/Long- 1chmb+1salon+sdd+terras,2582,Oda,,Molenbeek-Saint-Jean,50.85697,4.30651,Entire home/apt,78,2,2,2018-10-28,0.06,3,278
42521,Ixelles: spacious bedroom+boudoir+ensuite bathroom,185699,Claire,,Ixelles,50.81929,4.3879,Private room,45,2,102,2019-04-02,0.97,1,292
45145,B&B Welcome to my place -  2,199370,Erick,,Saint-Josse-ten-Noode,50.853,4.36971,Private room,70,2,3,2019-04-08,0.03,2,316
48180,Top Apart/location 0 default 2rooms,219560,Ahmet,,Woluwe-Saint-Pierre,50.83821,4.40683,Entire home/apt,200,2,0,,,1,365
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83356,4.36027,Entire home/apt,74,5,91,2019-02-27,0.91,1,327
71744,Sunny and Quiet City Centre,368362,Amandine,,Bruxelles,50.85427,4.34842,Entire home/apt,78,3,7,2019-03-21,0.37,1,26
77979,Guesthouse in the heart of Brussels,418931,Cedric,,Bruxelles,50.85558,4.35259,Private room,110,2,2,2012-06-24,0.02,1,0
79356,"B&B ""Marianne""",427339,Marianne,,Bruxelles,50.88773,4.33889,Private room,75,2,4,2018-11-04,0.08,1,360
80257,New-York,433586,Kristella/Francesco,,Anderlecht,50.83905,4.33521,Entire home/apt,95,1,3,2019-02-20,0.04,15,349
80320,Médina,433586,Kristella/Francesco,,Anderlecht,50.83946,4.33567,Entire home/apt,85,1,50,2019-03-29,0.52,15,358
80373,Villa Romaine,433586,Kristella/Francesco,,Anderlecht,50.83958,4.33545,Entire home/apt,85,1,3,2018-05-20,0.08,15,351
88206,Large room in leafy neighbourhood,482601,Cheryl,,Watermael-Boitsfort,50.80848,4.40284,Private room,60,2,8,2013-09-24,0.08,1,0
96293,Grand Famille Luxe,433586,Kristella/Francesco,,Anderlecht,50.8413,4.33654,Entire home/apt,135,1,47,2018-12-23,0.49,15,348
96642,Violetta,433586,Kristella/Francesco,,Anderlecht,50.84076,4.33544,Entire home/apt,70,1,20,2018-07-19,0.21,15,338
96694,Mimosa,433586,Kristella/Francesco,,Anderlecht,50.83908,4.33556,Entire home/apt,85,1,29,2018-11-25,0.32,15,333
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.86986,4.37712,Private room,95,2,3,2016-05-26,0.03,2,290
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80532,4.33227,Private room,75,2,0,,,2,286
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.8064,4.33487,Entire home/apt,75,3,0,,,2,365
118707,"Appart. ""Sydney""",433586,Kristella/Francesco,,Anderlecht,50.84053,4.33521,Entire home/apt,95,1,42,2018-12-16,0.44,15,360
130097,Very close to Grand'Place,641036,Pascal,,Bruxelles,50.84582,4.34954,Private room,99,2,28,2018-12-31,0.29,2,271
134357,"Gare du Midi - Appart.  ""Florence""",433586,Kristella/Francesco,,Anderlecht,50.84039,4.33664,Entire home/apt,70,1,10,2019-02-11,0.17,15,333
134361,"Gare du Midi - Appart.  ""Lilas""",433586,Kristella/Francesco,,Anderlecht,50.83903,4.33537,Entire home/apt,80,1,9,2019-02-24,0.12,15,341
134504,"Gare du Midi - Appart.  ""Villarosa""",433586,Kristella/Francesco,,Saint-Gilles,50.83877,4.33739,Entire home/apt,80,1,15,2019-03-24,0.16,15,345
134581,Big Family / Grande famille 2,433586,Kristella/Francesco,,Anderlecht,50.83937,4.3367,Entire home/apt,120,1,64,2019-01-04,0.67,15,342
134687,Design Apartment near center,660744,Alexandre,,Uccle,50.81208,4.348,Entire home/apt,55,3,25,2017-09-25,0.51,1,0
137738,"Very large apartment, sunlight, great location!",673355,Charlotte,,Forest,50.81904,4.33602,Entire home/apt,70,7,2,2013-08-01,0.02,1,323
137971,3-bedroom Apartment in EU District,674142,RAS Residence,,Bruxelles,50.84634,4.37466,Entire home/apt,165,1,88,2019-03-30,0.99,8,320
148114,"Gare du Midi - Appart.  ""Savane""",433586,Kristella/Francesco,,Saint-Gilles,50.83934,4.33692,Entire home/apt,95,1,12,2018-11-17,0.13,15,345
148797,Big appt 3 bedroom with Garden,717733,Grégoire,,Etterbeek,50.8304,4.38454,Entire home/apt,100,5,13,2018-08-15,0.19,1,12
159836,"Duplex, typisch Brussels herenhuis.",766382,Lucile,,Schaerbeek,50.87374,4.3813,Entire home/apt,39,2,96,2019-03-25,2.23,2,130
166510,1-bedroom Apartment  in EU District,674142,RAS Residence,,Bruxelles,50.84682,4.37322,Entire home/apt,150,1,7,2018-12-02,0.08,8,333
179990,Private room in a nice family house,862121,"Mathilde, Stefano, J, S & M",,Woluwe-Saint-Lambert,50.85133,4.41677,Private room,28,1,33,2019-04-11,0.42,1,225
184201,"Nice Guesthouse, near the center!!!",883668,David,,Bruxelles,50.84059,4.36559,Private room,65,1,586,2019-03-31,6.39,1,302
194933,Cosy & Clean Flat - Louise/Cambre,763075,Jill,,Bruxelles,50.81696,4.37444,Entire home/apt,45,5,53,2018-01-03,0.57,3,49
196623,LOFT JAMAR BRUXELLES GARE DU MIDI,957771,Sylvain,,Saint-Gilles,50.83896,4.33735,Entire home/apt,75,1,134,2019-03-31,1.48,1,249
198943,"Design studio with garden, Brussels",971770,Antoine,,Bruxelles,50.82538,4.36706,Entire home/apt,80,3,141,2019-03-25,1.55,1,123
200385,Bright and Charming Apartment,624176,Daan,,Saint-Gilles,50.82705,4.34339,Entire home/apt,60,2,121,2019-04-02,2.54,1,326
227067,Royal stay in Brussels,1184505,Karolien,,Bruxelles,50.8791,4.35508,Entire home/apt,90,3,68,2019-03-29,0.75,1,81
232262,"2 Bedroom Flat, 100 sqm., next to Grand Place!",871030,ApartmentsApart,,Bruxelles,50.8494,4.35085,Entire home/apt,150,1,53,2019-03-27,0.59,56,297
232268,100 sq.m. Flat Next to Grand Place!,871030,ApartmentsApart,,Bruxelles,50.84763,4.35064,Entire home/apt,149,1,30,2018-12-04,0.40,56,301
233899,Next to Grand Place and the Opera!,871030,ApartmentsApart,,Bruxelles,50.85059,4.35275,Entire home/apt,149,2,53,2019-02-04,1.00,56,264
233912,"2 BRMs in Style, 113 sqm., opp. the Opera House",871030,ApartmentsApart,,Bruxelles,50.84913,4.3517,Entire home/apt,150,2,31,2019-03-17,0.62,56,275
233927,2 Bedroom Next to The Opera House!,871030,ApartmentsApart,,Bruxelles,50.84929,4.351,Entire home/apt,150,1,20,2019-03-09,0.25,56,284
233952,"2Bedroom Flat, 130 sq.m., 1 min to Grand Place",871030,ApartmentsApart,,Bruxelles,50.84742,4.35151,Entire home/apt,150,1,66,2019-03-19,0.77,56,268
234001,"2Bedroom Central, rue A. Dansaert",871030,ApartmentsApart,,Bruxelles,50.85008,4.34812,Entire home/apt,149,1,41,2019-03-24,0.47,56,263
234031,"Overlooking the Opera,2Bedroom Flat",871030,ApartmentsApart,,Bruxelles,50.84883,4.35157,Entire home/apt,150,2,29,2018-12-16,0.35,56,277
268652,Contemporary Art Flat in Centre,1408080,Luc,,Bruxelles,50.85252,4.34222,Entire home/apt,70,1,182,2019-03-01,2.08,1,77
291209,Spacious Loft in Art Nouveau house,1509591,Tim,,Saint-Gilles,50.83199,4.34213,Entire home/apt,72,2,130,2019-03-26,1.53,1,271
293138,Magnific studio-flat in EU District,674142,RAS Residence,,Bruxelles,50.84674,4.37359,Private room,120,1,53,2018-11-25,0.65,8,314
293230,1-Bedroom Apartment in EU District,674142,RAS Residence,,Bruxelles,50.84656,4.37459,Entire home/apt,150,1,27,2019-03-03,0.38,8,342
293280,Elegant Studio-Flat in EU District,674142,RAS Residence,,Bruxelles,50.84582,4.37527,Private room,125,1,71,2019-04-07,1.20,8,343
293281,Cute private suite in EU District,674142,RAS Residence,,Bruxelles,50.84626,4.37394,Private room,115,1,76,2019-02-24,0.89,8,341
302472,Brussels EU Uptown charming modern!,71215,Ariane,,Ixelles,50.8154,4.35152,Entire home/apt,89,5,6,2018-04-02,0.12,1,359
308456,Colorfull studio in Saint-Gilles,1561223,Beatrice,,Saint-Gilles,50.82992,4.34602,Entire home/apt,30,2,90,2016-07-23,1.64,1,0
308858,New trendy flat in heart of Europe,1389538,Niel,,Anderlecht,50.83938,4.33211,Entire home/apt,59,5,17,2014-09-22,0.19,1,0
332388,Appartement central Bxl St Gilles,1693914,Judith,,Saint-Gilles,50.82681,4.34228,Private room,40,3,1,2014-12-31,0.02,1,0
334945,CENTENAIRE EXPO BRUSSELS ATOMIUM,1705823,Le Centenaire,,Bruxelles,50.88923,4.34534,Private room,65,1,0,,,2,340
348388,Les chambres de Franz - Le Studio,1765530,Florence,,Ixelles,50.82068,4.35478,Private room,120,1,1,2016-05-13,0.03,3,363
348575,Duplex first floor - Brussels,1764707,Marcelo,,Bruxelles,50.84915,4.36475,Entire home/apt,90,90,193,2018-12-04,2.30,3,325
348607,Duplex design in downtown,1764707,Marcelo,,Bruxelles,50.84853,4.36345,Entire home/apt,90,30,163,2019-03-01,1.93,3,293
