id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
77327,Edville Studio Duplex met terras,414263,Edward En Daphné,,Stationsbuurt Noord,51.03694,3.72968,Entire home/apt,89,2,11,2018-04-22,0.21,9,79
182883,Design B&B Snooz Inn - 3,877047,Kurt,,Sluizeken - Tolhuis - Ham,51.05813,3.73248,Private room,120,2,0,,,3,107
185483,Quite studio with seperate bedroom in city centre,890429,Dries,,Macharius - Heirnis,51.05165,3.73975,Entire home/apt,45,6,40,2019-03-24,0.47,6,326
187870,Top floor room in Ghent,904277,Tamara,,Watersportbaan - Ekkergem,51.05168,3.70283,Private room,55,2,331,2019-04-14,3.59,1,299
191534,Beautiful private studio & garden,890429,Dries,,Macharius - Heirnis,51.05134,3.74092,Entire home/apt,45,6,34,2019-01-14,0.39,6,274
204245,Modern studio's in Ghent centre,1003009,Nele,,Binnenstad,51.05842,3.72721,Entire home/apt,90,1,25,2019-04-08,0.29,2,187
216715,converted loft,911466,James,,Binnenstad,51.05756,3.7318,Entire home/apt,70,2,397,2019-04-08,4.35,1,318
252269,Large & bright town House - Center Ghent - max 8p,1195314,Anne-Sophie,,Elisabethbegijnhof - Papegaai,51.05216,3.71993,Entire home/apt,200,2,109,2019-04-14,1.28,1,168
291173,Bed&Bike Den Augustijn,1509503,Bed&Bike,,Sluizeken - Tolhuis - Ham,51.05954,3.722,Private room,90,2,141,2019-03-24,1.59,1,357
392245,Bright room to Enjoy Sleep Study Work Read Watch!,1961511,Hans,,Stationsbuurt Zuid,51.02971,3.71369,Private room,31,5,102,2019-02-16,1.22,1,137
432857,Tour Gent during day by boat & sleep in it @ night,2136986,Christophe,,Sint Denijs Westrem,51.03113,3.68348,Private room,299,1,3,2018-08-12,0.04,1,365
440798,"Big and bright, design savvy with great views!",2188943,Conrad,,Rabot  - Blaisantvest,51.06443,3.7048,Entire home/apt,65,2,50,2018-08-14,0.60,1,0
599325,Ghent! Need I say more?,2964980,Sas,,Ledeberg,51.03454,3.74631,Private room,30,2,106,2019-02-28,1.29,1,262
696209,Black & White studioB central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.04911,3.71738,Entire home/apt,75,6,29,2019-04-06,0.38,4,223
743981,Black & White studioA central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05109,3.71563,Entire home/apt,75,6,16,2019-01-18,0.22,4,314
778353,"The Ghent House of Silence * Cosy, close to parks",4104245,Carina,,Oud Gentbrugge,51.04177,3.74516,Private room,24,1,17,2019-02-24,0.22,1,268
782514,Garden studio,3644609,Bob,,Sint Amandsberg,51.06837,3.77456,Entire home/apt,89,3,38,2019-01-01,0.65,1,358
835795,Koestraat 46,4369972,Koestraat 46,,Binnenstad,51.05343,3.73002,Entire home/apt,100,2,212,2019-04-14,2.85,1,282
845854,Central harbour view apartment!,3685113,Bruno,,Macharius - Heirnis,51.0543,3.73527,Entire home/apt,85,4,14,2016-07-20,0.18,1,0
878177,Bed & Breakfast Geertje Henckens,4640769,Geertje,,Elisabethbegijnhof - Papegaai,51.05153,3.71807,Private room,55,2,1,2019-03-24,1,1,136
879417,2-bedroom furnished apartment-Ghent,1003009,Nele,,Binnenstad,51.0578,3.72622,Entire home/apt,155,2,5,2018-08-21,0.08,2,128
887716,Duplex studio F central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05074,3.71562,Entire home/apt,75,6,5,2019-01-03,0.26,4,278
916268,Victor Horta's first house / artist studio,4845407,Frank,,Elisabethbegijnhof - Papegaai,51.04947,3.71248,Entire home/apt,55,3,133,2018-01-01,1.81,1,0
924683,Perfect apartment centre of Ghent,4974034,Carmen,,Elisabethbegijnhof - Papegaai,51.0524,3.71701,Entire home/apt,73,3,281,2019-04-15,3.76,2,293
944573,Stylish newly renovated small house,5114342,Kurt,,Bloemekenswijk,51.07052,3.70806,Entire home/apt,120,2,15,2018-06-09,0.23,1,321
1018048,"Large airy studio, central location",5600970,Johan,,Binnenstad,51.05434,3.72334,Entire home/apt,53,1,480,2019-04-14,7.82,1,214
1098409,Spacious Room in the city's heart,6036056,Ellen,,Binnenstad,51.05192,3.72792,Private room,40,2,212,2019-03-03,2.93,2,263
1102289,Beautiful cosy apartment in Ghent,6054596,Ingrid Saran,,Stationsbuurt Zuid,51.0325,3.7152,Entire home/apt,80,2,182,2019-02-05,2.51,1,308
1121033,'Knighty night' at Prinsenhof,6150298,Sarah,,Elisabethbegijnhof - Papegaai,51.05661,3.71914,Private room,60,2,44,2019-04-07,0.61,1,331
1135017,RAAMHOF  top location / spacious / comfy beds,6226459,Simon,,Elisabethbegijnhof - Papegaai,51.05683,3.71639,Entire home/apt,75,2,200,2018-11-19,2.82,2,292
1141163,Luxury apartment in Ghent city,5082339,Joost,,Binnenstad,51.04496,3.73601,Entire home/apt,85,2,105,2019-03-03,1.45,1,282
1159353,Big & cosy riverside apartment,1774984,Melanie,,Stationsbuurt Noord,51.03702,3.73016,Entire home/apt,70,4,374,2019-03-29,5.36,1,164
1188974,Spacious Room in the city's heart 2,6036056,Ellen,,Binnenstad,51.05109,3.7257,Private room,40,2,226,2019-03-10,3.15,2,266
1222069,B&B Marie Reine in old Monastry,5456443,Ruth,,Watersportbaan - Ekkergem,51.05194,3.70333,Private room,80,2,307,2019-04-04,4.33,1,151
1271802,"cozy bedroom, private bathroom",6922134,Tasja,,Nieuw Gent - UZ,51.03137,3.72882,Private room,44,2,37,2019-02-01,0.53,2,290
1339383,"Studio INs INN, a charming studio.",7258638,Ina Karina & Patrick,,Binnenstad,51.05824,3.72243,Private room,98,2,23,2018-03-02,0.35,1,326
1354090,Beautiful calm room in centre of Ghent/Gent,7349426,Barnabé,,Binnenstad,51.05421,3.73203,Private room,41,1,106,2019-04-14,1.52,1,168
1368957,Private room near Gent city center,6747265,Arnoud,,Oud Gentbrugge,51.04206,3.74747,Private room,39,1,209,2019-03-31,4.59,1,338
1378568,Beautiful Parc View,7467550,Anne-Marie,,Sint Amandsberg,51.07289,3.75223,Private room,60,2,90,2019-04-08,1.29,1,345
1418588,"Modern house w pool,near Ghent,2-8p",7640576,Stijn,,Sint Denijs Westrem,51.02235,3.66854,Entire home/apt,175,3,46,2019-01-05,0.70,1,2
1425838,Cosy room in green area,6976593,Hilde,,Mariakerke,51.07391,3.69128,Private room,65,2,7,2014-08-11,0.10,1,197
1431537,Loft apartement in the city center,6665692,Nele,,Binnenstad,51.05007,3.73158,Entire home/apt,75,3,322,2019-03-31,4.67,1,16
1455446,Renovated house in Ghent,7758609,Dieter,,Oud Gentbrugge,51.0427,3.75586,Entire home/apt,150,3,30,2017-04-06,0.65,1,258
1482891,"Complete private floor, with bathroom and living",2091743,Paul,,Dampoort,51.04872,3.75136,Private room,29,2,57,2019-03-01,1.82,1,216
1607894,Spacious duplex (shower + kitchen),6922134,Tasja,,Stationsbuurt Noord,51.03189,3.72787,Private room,54,2,21,2019-04-07,0.31,2,288
1608978,Furnished duplex ideal for longer business stays,8482916,Karin,,Stationsbuurt Noord,51.03673,3.71293,Entire home/apt,125,4,20,2018-12-01,0.35,1,165
1627743,band resort 0.1,8651909,Gerald,,Binnenstad,51.05661,3.72775,Entire home/apt,175,2,172,2019-03-31,2.54,3,305
1630656,Studio with parking & garden,8665654,Serge,,Sluizeken - Tolhuis - Ham,51.06594,3.72686,Entire home/apt,90,3,2,2018-12-29,0.03,2,239
1638170,Spacious studio in center of Ghent,879188,Dorothee,,Elisabethbegijnhof - Papegaai,51.05545,3.70902,Entire home/apt,50,2,190,2019-04-02,2.80,1,257
1638915,(Privé) kamer in gent,8702673,Yannick,,Watersportbaan - Ekkergem,51.04902,3.71128,Private room,30,1,3,2013-10-28,0.04,1,0
1670943,Room in cosy and little house near centre of Ghent,5390128,Mieke,,Muide - Meulestede - Afrikalaan,51.07376,3.7317,Private room,60,2,22,2019-02-28,0.40,1,351
1710185,Design house with garden and private free garage,9022623,Bart & Daisy,,Ledeberg,51.03455,3.74213,Entire home/apt,132,3,32,2018-12-31,0.48,1,245
1723685,warm and cosy 2 bedroom appartment central Gent,9072131,Mieke,,Elisabethbegijnhof - Papegaai,51.05533,3.71361,Entire home/apt,65,3,227,2019-04-15,3.39,1,200
1754719,Band Resort 1.1. - Rent Appartment,9228510,Vincent,,Binnenstad,51.05478,3.72724,Entire home/apt,340,2,136,2019-04-07,2.06,1,297
1765737,a home away from home for expats,9278844,Erika,,Binnenstad,51.04984,3.7314,Entire home/apt,75,14,1,2018-10-29,0.18,1,258
1790941,CLEAR AND LIGHTFULL APARTMENT CENTRE OF GHENT,4974034,Carmen,,Elisabethbegijnhof - Papegaai,51.05453,3.71602,Entire home/apt,80,3,142,2019-03-19,2.21,2,313
1858310,"Sunny duplex, small and all-in loft studio",9696770,Tomas,,Stationsbuurt Noord,51.04114,3.71358,Entire home/apt,45,1,349,2019-04-14,5.26,1,313
1894366,Spacious Apartment in centre Ghent,9844612,Sofia,,Binnenstad,51.05534,3.72888,Entire home/apt,84,1,204,2019-04-16,3.33,1,42
1981738,Small loft + private bathroom,10225820,Peter,,Oud Gentbrugge,51.04133,3.74517,Entire home/apt,55,2,196,2019-04-14,3.05,1,315
2015536,rooftop in 19th century town house,1238214,Silvie,,Macharius - Heirnis,51.05649,3.73722,Entire home/apt,50,7,0,,,1,0
2031176,Modern flat 2 bedr close to  center,10429259,Christel,,Elisabethbegijnhof - Papegaai,51.05329,3.7121,Entire home/apt,115,3,45,2019-03-06,0.76,7,262
2031654,Duplex Studio near historical center Ghent,10429259,Christel,,Elisabethbegijnhof - Papegaai,51.05289,3.71267,Entire home/apt,98,3,29,2019-04-01,0.50,7,307
